T,RH,WS,PET,PMV,PPD,SET,RWS,CE,Height,PETH,PMVH
28.55,87.09,1.51,30,1.01,27,32.7,2.69,14.8,6,49.4,3.2
31.85,71.32,1.57,33.6,1.16,33,33.7,2.77,16.8,12,49.1,3.12
34.78,56.86,1.49,36.7,1.56,54,34.5,3.01,17,18,48.9,3.08
37.23,44.48,1.27,39.2,1.81,67,34.8,3.26,17.6,24,48.8,3.07
39.17,35.8,1.21,41.1,1.98,76,35.1,3.46,18.1,30,48.6,3.05
40.55,28.71,1.25,42.1,2.08,80,35.2,3.76,18.6,36,48.3,3.03
42.02,30.9,0.9,44.7,2.19,85,35.4,4.13,18.6,42,48.1,3.01
42.41,28.9,1.3,44.5,2.19,85,35.4,4.43,19,48,48,3
42.51,26.45,1.85,44.1,2.13,82,35.2,4.51,19.3,54,47.8,2.99
41.97,25.1,1.95,43.2,2.11,81,35.2,4.09,19.2,60,47.7,2.97
40.74,26.95,1.81,41.8,2.17,84,35.5,3.2,18.1,66,47.5,2.96
38.78,30.43,2.37,39.4,2.06,79,35.4,2.81,17.3,72,47.4,2.96
36.89,35.25,2.78,37.3,1.69,61,34.6,2.89,17.6,78,47.3,2.95
34.91,40.77,2.88,35.1,1.38,44,34,2.89,17.7,84,47.1,2.95
34.44,45.5,1.88,35.2,1.1,31,33.5,2.88,18.1,90,47,2.93
33.67,51.11,1.53,34.8,1.33,42,33,3.04,15.9,96,46.8,2.9
31.61,61.55,1.66,32.6,1.08,29,32.2,3.25,16.2,102,46.7,2.87
30.91,66.86,2.03,31.8,0.91,23,31.8,3.38,16.2,0,47.5,3.24
29.33,81.43,2.4,30.3,0.86,21,31.8,3.46,16,6,47.1,3.2
28.78,84.97,2.54,29.6,0.8,19,31.7,3.44,15.9,12,46.9,3.12
28.33,87.73,1.89,29.5,0.74,16,31.6,3.37,15.9,18,46.8,3.08
28.13,89.15,2.02,29.2,0.67,14,31.4,3.28,15.8,24,46.7,3.07
27.79,90.48,1.97,28.8,0.66,14,31.5,3.1,15.6,30,46.6,3.05
24.94,92.4,3.34,24.4,0.58,12,32.1,2.32,13.9,36,46.3,3.03
26.3,88.25,3.69,25.9,0.93,23,33.2,2.27,13.4,42,46.1,3.01
28.24,80.4,2.6,28.6,0.95,24,33.8,2.4,14.7,48,46,3
29.74,76.13,3.37,30.2,1.15,33,34.2,2.56,14.7,54,45.9,2.99
30.97,70.87,2.78,31.8,1.48,50,35,2.54,14.3,60,45.7,2.97
31.98,68.43,2.71,33.1,2.09,81,36,2.35,12.4,66,45.6,2.96
33.05,66.01,2.5,34.5,2.45,92,37,2.06,11.6,72,45.5,2.96
33.64,65.67,2.19,35.4,2.69,97,37.6,2.05,11.2,78,45.4,2.95
34.44,61.49,2.67,36,2.7,97,37.5,2.15,11.4,84,45.3,2.95
34.81,61.06,2.16,36.7,2.61,95,37.2,2.26,11.6,90,45.1,2.93
34.53,61.01,2.98,36,2.5,93,37,2.27,11.7,96,45,2.9
33.11,66.37,3.11,34.4,2.37,90,36.8,2.25,11.7,102,44.9,2.87
30.79,75.26,2.96,31.7,2.02,78,35.9,2.55,12.3,0,50,2.19
28.96,82.48,3.02,29.6,1.38,45,34.8,2.7,14.1,6,49.7,2.16
27.9,86.77,3.4,28.2,1.17,34,34.4,2.57,14.2,12,49.6,2.14
26.89,90.4,2.9,27.1,1.03,27,34.1,2.44,14.3,18,49.4,2.13
26.45,91.06,2.76,26.6,0.9,22,33.7,2.39,14.5,24,49.3,2.11
