T,RH,WS,PET,PMV,PPD,SET,RWS,CE,Height,PETH,PMVH
27.12,90.75,9.43,26.6,0.76,17,33.4,33.4,14.6,24,43.5,2.22
26.91,91.14,7.5,26.5,1.01,26,33.4,2.39,13.2,30,43.3,2.2
29.24,90.61,8.79,29.7,1.72,63,35.3,3.6,12.5,36,45.3,2.42
30.53,85.64,9.11,31.4,1.89,72,35.6,3.82,12.5,42,45.8,2.47
32.17,77.78,9.23,33.4,2.06,79,35.9,4.17,12.5,48,46.3,2.52
33.66,71.16,7.84,35.5,2.23,86,36.3,4.18,12.4,54,46.8,2.57
35.09,65.31,6.68,37.4,2.36,90,36.5,4.19,12.4,60,47.3,2.62
36.39,60.13,7.23,38.9,2.47,93,36.7,4.25,12.4,66,47.7,2.67
37.52,57.67,8.63,40.2,2.53,94,36.8,4.28,12.5,72,48.1,2.72
38.82,53.22,8.44,41.9,2.73,97,37.2,4.09,12.3,78,48.5,2.77
39,53.28,8.69,42.1,2.68,96,37,4.18,12.4,84,48.7,2.79
39.17,53.44,8.73,42.3,2.6,95,36.9,4.29,12.5,90,48.8,2.78
38.26,57.11,8.43,41.3,2.45,92,36.5,4.3,12.7,96,48.4,2.74
35.91,65.6,9.04,38.3,2.32,89,36.3,4.15,12.7,102,47.8,2.68
34.59,69.32,8.4,36.7,2.25,87,36.3,4.02,12.4,0,47.4,2.64
33.29,73.47,7.78,35,2.11,82,36,4.04,12.5,6,46.9,2.59
32.3,77.25,7.42,33.8,1.99,76,35.7,4.09,12.7,12,46.5,2.54
31.53,80.53,6.77,32.9,1.92,73,35.6,4.15,12.6,18,46.1,2.5
30.9,83.32,6.56,32.1,1.88,71,35.5,4.07,12.6,24,45.7,2.46
30.39,85.65,6.63,31.4,1.85,69,35.5,3.99,12.6,30,45.4,2.42
30.02,87.34,6.93,30.9,1.81,68,35.4,3.99,12.6,36,45.1,2.38
29.92,88.47,7.64,30.7,1.71,62,35.2,3.99,12.7,42,44.9,2.35
29.58,89.84,8.64,30.2,1.69,61,35.1,3.88,12.7,48,44.7,2.32
29.28,91.2,9.09,29.7,1.67,60,35.1,3.84,12.7,54,44.5,2.29
29.19,91.66,9.03,29.6,1.65,59,35.1,3.79,12.7,60,44.4,2.27
29.12,91.91,8.8,29.5,1.65,59,35.1,3.7,12.6,66,44.3,2.25
28.64,85.74,6.02,29,0.63,13,32.9,3.18,15.8,72,44.1,2.23
30.23,78.6,5.97,31.1,0.9,22,33.3,3.41,15.5,78,44.8,2.3
31.96,71.87,6.43,33.2,1.1,30,33.8,3.6,15.4,84,45.3,2.37
33.49,66.81,7.22,35.1,1.32,41,34.3,3.69,15.3,90,45.9,2.44
35.09,61.77,8.31,37,1.59,56,34.9,3.59,15,96,46.5,2.51
37.02,57.23,7.71,39.6,2.09,81,35.6,3.53,13.5,102,47.2,2.58
38.16,54.29,7.91,41,2.28,88,36,3.38,13.3,0,47.7,2.63
39.45,52.34,7.24,42.8,2.4,91,36.2,3.46,13.3,6,48.1,2.67
39.56,53.27,7.9,43,2.47,93,36.3,3.14,13.2,12,48.2,2.68
39.47,54.86,8.18,42.9,2.4,91,36.1,3.42,13.5,18,48.1,2.66
38.97,57.62,8.47,42.3,2.34,90,36,3.26,13.4,24,47.8,2.63
38,61.75,8.57,41.2,2.26,87,35.9,3.16,13.3,30,47.4,2.59
35.81,71.12,8.82,38.5,2.1,81,35.6,3.07,13.3,36,46.8,2.53
34.96,73.07,8.98,37.3,1.58,55,35,3.21,14.9,42,46.4,2.48
32.89,78.45,9.33,34.5,1.34,42,34.3,3.38,15.3,48,45.8,2.42
32.62,73.76,9.71,33.9,1.19,35,34,3.46,15.4,54,45.6,2.39
31.9,72.28,9.84,32.8,1.03,27,33.6,3.46,15.8,60,45.2,2.35
30.95,77.69,9.47,31.7,0.95,24,33.4,3.35,15.7,66,44.8,2.31
30.18,81.38,8.78,30.8,0.87,21,33.3,3.23,15.7,72,44.4,2.27
29.68,80.71,7.43,30.2,1.09,30,32.9,3.4,14.2,78,44.1,2.24
29.26,82.48,7.2,29.7,0.71,16,32.9,3.24,15.9,84,43.9,2.21
28.75,83.81,6.92,29,1.01,27,32.8,3.19,14.1,90,43.6,2.18
28.48,84,6.27,28.7,1,26,32.9,3.2,14.1,96,43.4,2.16
28.4,85.03,6.15,28.7,0.95,24,32.8,3.22,14.1,102,43.3,2.15
28.3,95.49,6.37,28.7,0.89,22,33.5,3.26,14.8,0,43.2,2.14
29.3,90.82,6.43,30,1.05,28,33.9,3.52,14.7,6,44.1,2.21
31.16,82.4,6.49,32.5,1.23,37,34.3,3.65,14.7,12,44.9,2.3
33.26,73.94,7.25,35.1,1.44,48,34.7,3.69,14.7,18,45.7,2.39
35.56,62.87,7.77,37.8,1.96,75,35.4,3.61,13.2,24,46.6,2.49
37.5,56.1,8.42,40.1,2.19,85,36,3.54,12.9,30,47.3,2.57
39.02,51.65,9.32,42,2.35,90,36.3,3.44,12.8,36,47.9,2.64
40.35,50.13,9.08,43.8,2.45,92,36.4,3.26,12.8,42,48.4,2.7
40.59,49.44,9.64,44,2.57,95,36.7,3.13,12.6,48,48.6,2.73
40.29,49.12,9.96,43.5,2.58,95,36.8,3.12,12.6,54,48.5,2.72
39.52,51.81,10.46,42.6,2.53,94,36.7,3.02,12.6,60,48.1,2.68
38.15,54.42,11.5,40.8,2.43,92,36.5,2.92,12.6,66,47.6,2.62
35.82,61.88,12.48,37.8,2.25,87,36.2,2.98,12.6,72,46.8,2.53
33.72,68.49,12.12,35.1,1.9,72,35.4,3.25,13,78,46.1,2.45
32.28,74.49,12.5,33.2,1.64,58,34.8,3.27,13.4,84,45.5,2.38
31.14,76.61,12.25,31.7,1.3,40,34.5,3.33,14.6,90,44.9,2.31
30.4,80.33,11.29,30.8,1.22,36,34.3,3.29,14.6,96,44.4,2.26
29.87,82.35,10.38,30.2,1.19,35,34.3,3.14,14.5,102,44,2.22
29.61,82.96,8.31,30,1.21,36,34.4,2.98,14.2,0,43.8,2.19
29.64,88.3,4.58,30.8,1.25,38,34.6,2.85,14,6,44,2.21
29.15,90.97,4.36,30.2,1.25,38,34.7,2.67,13.8,12,43.7,2.18
28.61,93.66,4.84,29.4,1.16,33,34.4,2.76,14,18,43.3,2.14
28.37,95.03,5.02,29,1.05,28,34,2.94,14.2,24,43,2.11
28.24,95.49,6.09,28.7,0.89,22,33.5,3.16,14.7,30,42.8,2.08
